Knot Step 
7.5 -3.5 1.75
7.5 -3.5 1.25
7.25 -3.5 1
6.75 -3.5 1
6.25 -3.5 1
5.75 -3.5 1
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -2.75 1
1 -2.5 1.25
1 -2.5 1.75
1 -2.5 2.25
1 -2.5 2.75
1 -2.75 3
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.75 -5 0
5 -4.75 0
5 -4.25 0
5 -3.75 0
5 -3.25 0
5 -2.75 0
5 -2.5 0.25
5 -2.5 0.75
5 -2.5 1.25
5 -2.5 1.75
4.75 -2.5 2
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0 -1.25 2
0 -0.75 2
0.25 -0.5 2
0.75 -0.5 2
1.25 -0.5 2
1.75 -0.5 2
2.25 -0.5 2
2.75 -0.5 2
3.25 -0.5 2
3.75 -0.5 2
4.25 -0.5 2
4.75 -0.5 2
5.25 -0.5 2
5.75 -0.5 2
6.25 -0.5 2
6.75 -0.5 2
7.25 -0.5 2
7.5 -0.75 2
7.5 -1.25 2
7.5 -1.75 2
7.5 -2.25 2
7.5 -2.75 2
7.5 -3.25 2
7.5 -3.5 1.75
Knot Step 
7.5 -3.5 1.75
7.5 -3.5 1.25
7.25 -3.5 1
6.75 -3.5 1
6.25 -3.5 1
5.75 -3.5 1
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -2.75 1
1 -2.5 1.25
1 -2.5 1.75
1 -2.5 2.25
1 -2.5 2.75
1 -2.75 3
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.75 -5 0
5 -4.75 0
5 -4.25 0
5 -3.75 0
5 -3.25 0
5 -2.75 0
5 -2.5 0.25
5 -2.5 0.75
5 -2.5 1.25
5 -2.5 1.75
4.75 -2.5 2
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0 -1.25 2
0.25 -1 2
0.75 -1 2
1.25 -1 2
1.75 -1 2
2.25 -1 2
2.75 -1 2
3.25 -1 2
3.75 -1 2
4.25 -1 2
4.75 -1 2
5.25 -1 2
5.75 -1 2
6.25 -1 2
6.75 -1 2
7.25 -1 2
7.5 -1.25 2
7.5 -1.75 2
7.5 -2.25 2
7.5 -2.75 2
7.5 -3.25 2
7.5 -3.5 1.75
Knot Step 
7.5 -3.5 1.75
7.5 -3.5 1.25
7.25 -3.5 1
6.75 -3.5 1
6.25 -3.5 1
5.75 -3.5 1
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -2.75 1
1 -2.5 1.25
1 -2.5 1.75
1 -2.5 2.25
1 -2.5 2.75
1 -2.75 3
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.75 -5 0
5 -4.75 0
5 -4.25 0
5 -3.75 0
5 -3.25 0
5 -2.75 0
5 -2.5 0.25
5 -2.5 0.75
5 -2.5 1.25
5 -2.5 1.75
4.75 -2.5 2
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5.25 -1.5 2
5.75 -1.5 2
6.25 -1.5 2
6.75 -1.5 2
7.25 -1.5 2
7.5 -1.75 2
7.5 -2.25 2
7.5 -2.75 2
7.5 -3.25 2
7.5 -3.5 1.75
Knot Step 
7.5 -3.5 1.75
7.5 -3.5 1.25
7.25 -3.5 1
6.75 -3.5 1
6.25 -3.5 1
5.75 -3.5 1
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.75 -5 0
5 -4.75 0
5 -4.25 0
5 -3.75 0
5 -3.25 0
5 -2.75 0
5 -2.5 0.25
5 -2.5 0.75
5 -2.5 1.25
5 -2.5 1.75
4.75 -2.5 2
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5.25 -1.5 2
5.75 -1.5 2
6.25 -1.5 2
6.75 -1.5 2
7.25 -1.5 2
7.5 -1.75 2
7.5 -2.25 2
7.5 -2.75 2
7.5 -3.25 2
7.5 -3.5 1.75
Knot Step 
7 -3.5 1.75
7 -3.5 1.25
6.75 -3.5 1
6.25 -3.5 1
5.75 -3.5 1
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.75 -5 0
5 -4.75 0
5 -4.25 0
5 -3.75 0
5 -3.25 0
5 -2.75 0
5 -2.5 0.25
5 -2.5 0.75
5 -2.5 1.25
5 -2.5 1.75
4.75 -2.5 2
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5.25 -1.5 2
5.75 -1.5 2
6.25 -1.5 2
6.75 -1.5 2
7 -1.75 2
7 -2.25 2
7 -2.75 2
7 -3.25 2
7 -3.5 1.75
Knot Step 
6.5 -3.5 1.75
6.5 -3.5 1.25
6.25 -3.5 1
5.75 -3.5 1
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.75 -5 0
5 -4.75 0
5 -4.25 0
5 -3.75 0
5 -3.25 0
5 -2.75 0
5 -2.5 0.25
5 -2.5 0.75
5 -2.5 1.25
5 -2.5 1.75
4.75 -2.5 2
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
3.25 -4 2
2.75 -4 2
2.25 -4 2
1.75 -4 2
1.25 -4 2
0.75 -4 2
0.25 -4 2
0 -3.75 2
0 -3.25 2
0 -2.75 2
0 -2.25 2
0 -1.75 2
0.25 -1.5 2
0.75 -1.5 2
1.25 -1.5 2
1.75 -1.5 2
2.25 -1.5 2
2.75 -1.5 2
3.25 -1.5 2
3.75 -1.5 2
4.25 -1.5 2
4.75 -1.5 2
5.25 -1.5 2
5.75 -1.5 2
6.25 -1.5 2
6.5 -1.75 2
6.5 -2.25 2
6.5 -2.75 2
6.5 -3.25 2
6.5 -3.5 1.75
Knot Step 
6 -3.5 1.75
6 -3.5 1.25
5.75 -3.5 1
5.25 -3.5 1
4.75 -3.5 1
4.25 -3.5 1
3.75 -3.5 1
3.25 -3.5 1
2.75 -3.5 1
2.25 -3.5 1
1.75 -3.5 1
1.25 -3.5 1
1 -3.25 1
1 -3 1.25
1 -3 1.75
1 -3 2.25
1 -3 2.75
1 -3.25 3
1 -3.75 3
1 -4.25 3
1 -4.75 3
1 -5 2.75
1 -5 2.25
1 -5 1.75
1 -5 1.25
1 -5 0.75
1 -5 0.25
1.25 -5 0
1.75 -5 0
2.25 -5 0
2.75 -5 0
3.25 -5 0
3.75 -5 0
4.25 -5 0
4.75 -5 0
5 -4.75 0
5 -4.25 0
5 -3.75 0
5 -3.25 0
5 -2.75 0
5 -2.5 0.25
5 -2.5 0.75
5 -2.5 1.25
5 -2.5 1.75
4.75 -2.5 2
4.25 -2.5 2
3.75 -2.5 2
3.5 -2.75 2
3.5 -3.25 2
3.5 -3.75 2
